,accuracy,precision,recall
2311211,0.848125,0.375,0.012448132780082987
2132221,0.85,0.75,0.012396694214876033
2221211,0.8475,0.375,0.012396694214876033
3212222,0.850625,1,0.012396694214876033
1331112,0.84125,0.1875,0.012295081967213115
2322111,0.846875,0.42857142857142855,0.012295081967213115
3133112,0.846875,0.5,0.012244897959183673
3222212,0.84625,0.5,0.012195121951219513
1213211,0.839375,0.1875,0.012145748987854251
1231122,0.844375,0.375,0.012145748987854251
1131222,0.838125,0.3,0.011764705882352941
1121112,0.825,0.22916666666666666,0.096491228
1113312,0.82625,0.20202020202020202,0.091324201
1211221,0.836875,0.39285714285714285,0.088353414
3121111,0.843125,0.3389830508474576,0.086206897
1112122,0.8225,0.20430107526881722,0.082969432
3113211,0.831875,0.20689655172413793,0.082568807
2121212,0.83125,0.27692307692307694,0.074688797
1112112,0.825625,0.21518987341772153,0.072649573
2111212,0.846875,0.2962962962962963,0.071748879
2222121,0.828125,0.2361111111111111,0.071729958
1222212,0.846875,0.3076923076923077,0.071111111
3111112,0.835,0.2982456140350877,0.070539419
3122211,0.831875,0.2786885245901639,0.070247934
2121222,0.8275,0.23880597014925373,0.066390041
1311121,0.850625,0.39473684210526316,0.064935065
1321212,0.83875,0.2727272727272727,0.064377682
1111112,0.855625,0.4827586206896552,0.060869565
1322112,0.83875,0.25,0.060869565
1222322,0.8425,0.3684210526315789,0.05785124
1121222,0.84625,0.3939393939393939,0.054393305
2131212,0.8625,0.6,0.053571429
1321122,0.833125,0.1935483870967742,0.052401747
1113211,0.84875,0.34285714285714286,0.051948052
1112211,0.8475,0.3333333333333333,0.051724138
1121121,0.845,0.3076923076923077,0.051502146
1121312,0.845,0.35294117647058826,0.050420168
1122221,0.864375,0.3125,0.048780488
3111122,0.84875,0.3793103448275862,0.046808511
3122112,0.839375,0.28205128205128205,0.045833333
2121112,0.856875,0.38461538461538464,0.044843049
1311212,0.84,0.23255813953488372,0.042918455
1312211,0.840625,0.25,0.042553191
3112312,0.850625,0.25,0.040723982
2122221,0.85375,0.3103448275862069,0.040358744
2111211,0.840625,0.43478260869565216,0.03968254
3121211,0.830625,0.2702702702702703,0.039370079
2132211,0.855,0.45,0.039130435
1111211,0.848125,0.3103448275862069,0.038793103
1132211,0.845,0.3333333333333333,0.037656904
1113222,0.84125,0.1509433962264151,0.036866359
3321211,0.86125,0.38095238095238093,0.036866359
1113321,0.853125,0.2857142857142857,0.035874439
1122212,0.850625,0.25806451612903225,0.035714286
3112221,0.8525,0.2857142857142857,0.035714286
3132111,0.853125,0.2962962962962963,0.035714286
1131311,0.82875,0.12698412698412698,0.035242291
1112221,0.844375,0.21621621621621623,0.035087719
1331212,0.855,0.4,0.035087719
3132212,0.853125,0.5,0.034042553
1113111,0.84875,0.38095238095238093,0.033755274
1111111,0.869375,0.5384615384615384,0.033333333
1223222,0.884375,0.42857142857142855,0.032786885
2131112,0.845,0.4,0.032786885
2132222,0.84625,0.4444444444444444,0.032786885
1211121,0.855625,0.23333333333333334,0.03255814
1322212,0.855625,0.23333333333333334,0.03255814
1222222,0.86,0.3333333333333333,0.032258065
1211112,0.85,0.19444444444444445,0.032110092
1223212,0.8575,0.2916666666666667,0.032110092
1113122,0.84375,0.5,0.032
3113111,0.861875,0.4375,0.03196347
1212211,0.855625,0.2916666666666667,0.031674208
3112211,0.858125,0.3684210526315789,0.031531532
2111312,0.850625,0.25,0.031111111
2131111,0.85375,0.35,0.030701754
1131322,0.846875,0.25925925925925924,0.030172414
2132111,0.83875,0.3684210526315789,0.027667984
3122122,0.838125,0.5,0.027027027
3113222,0.858125,0.5,0.026431718
1123111,0.8575,0.5,0.026315789
3112112,0.8425,0.16666666666666666,0.026315789
1132111,0.856875,0.5454545454545454,0.026086957
3111312,0.853125,0.35294117647058826,0.026086957
1221312,0.853125,0.4,0.025862069
3121221,0.85375,0.42857142857142855,0.025862069
2312211,0.844375,0.23076923076923078,0.025531915
1312212,0.848125,0.4,0.025
3321212,0.8475,0.375,0.025
3211222,0.861875,0.21739130434782608,0.024038462
3112311,0.85875,0.20833333333333334,0.023584906
1113212,0.866875,0.5555555555555556,0.023364486
1123121,0.86,0.29411764705882354,0.023041475
2321111,0.86375,0.5555555555555556,0.02283105
1122312,0.86,0.38461538461538464,0.022624434
3321222,0.8625,0.5555555555555556,0.022624434
2111111,0.860625,0.45454545454545453,0.022522523
1111212,0.855625,0.625,0.021459227
1321111,0.84625,0.21739130434782608,0.021459227
2321222,0.851875,0.35714285714285715,0.021459227
1221221,0.845625,0.22727272727272727,0.021276596
2112221,0.83875,0.15151515151515152,0.021276596
2112111,0.849375,0.3333333333333333,0.021186441
2112212,0.855,0.8333333333333334,0.021186441
1112212,0.8475,0.3125,0.021008403
1112222,0.845625,0.2777777777777778,0.020920502
1122321,0.84625,0.35714285714285715,0.020661157
3221111,0.846875,0.38461538461538464,0.020661157
1322211,0.836875,0.17857142857142858,0.020576132
3211112,0.844375,0.35714285714285715,0.020408163
1133321,0.875625,0.6666666666666666,0.019900498
2211211,0.873125,0.6666666666666666,0.019512195
1332112,0.838125,0.45454545454545453,0.019379845
1311112,0.8675,0.3076923076923077,0.019323671
1111122,0.85875,0.25,0.018348624
2113122,0.858125,0.25,0.01826484
2312222,0.863125,0.5,0.01826484
1211122,0.85875,0.2857142857142857,0.018181818
1213121,0.860625,0.36363636363636365,0.018181818
1332122,0.863125,0.5714285714285714,0.018181818
1112322,0.8625,0.5714285714285714,0.018099548
1222121,0.846875,0.125,0.018099548
1121321,0.856875,0.4,0.017621145
